contraste,corr_ans,trigger,condition
.07,right,222,P
.01,right,221,P
.01,right,221,P
.07,left,212,P
.01,left,211,P
.01,right,221,P
.07,right,222,P
.07,left,212,P
.07,right,222,P
.01,right,221,P
.15,left,213,P
.15,left,213,P
.15,right,223,P
.15,right,223,P
.07,right,222,P
.15,left,213,P
.07,left,212,P
.01,right,221,P
.15,right,223,P
.01,left,211,P
.01,right,221,P
.01,left,211,P
.01,right,221,P
.15,right,223,P
.15,left,213,P
.15,left,213,P
.01,left,211,P
.01,left,211,P
.01,right,221,P
.15,right,223,P
.15,right,223,P
.07,left,212,P
.07,left,212,P
.07,left,212,P
.07,left,212,P
.15,left,213,P
.01,left,211,P
.07,right,222,P
.01,left,211,P
.15,left,213,P
.07,right,222,P
.01,left,211,P
.07,right,222,P
.01,right,221,P
.15,right,223,P
.15,left,213,P
.15,right,223,P
.15,left,213,P
.15,left,213,P
.07,left,212,P
.15,left,213,P
.01,right,221,P
.01,right,221,P
.15,right,223,P
.01,right,221,P
.07,right,222,P
.01,right,221,P
.01,right,221,P
.01,left,211,P
.01,left,211,P
.15,right,223,P
.15,left,213,P
.07,right,222,P
.07,right,222,P
.07,left,212,P
.15,left,213,P
.01,left,211,P
.07,left,212,P
.15,right,223,P
.01,right,121,V
.01,right,121,V
.07,right,122,V
.15,left,113,V
.01,right,121,V
.15,left,113,V
.15,right,123,V
.01,right,121,V
.01,right,121,V
.15,right,123,V
.15,right,123,V
.01,right,121,V
.01,left,111,V
.07,left,112,V
.07,left,112,V
.07,right,122,V
.15,right,123,V
.01,left,111,V
.15,left,113,V
.01,right,121,V
.01,left,111,V
.07,right,122,V
.15,right,123,V
.01,right,121,V
.01,left,111,V
.01,left,111,V
.15,left,113,V
.01,right,121,V
.07,left,112,V
.15,right,123,V
.07,left,112,V
.07,left,112,V
.15,right,123,V
.01,right,121,V
.15,left,113,V
.07,left,112,V
.07,left,112,V
.15,left,113,V
.15,left,113,V
.15,left,113,V
.15,right,123,V
.01,left,111,V
.15,right,123,V
.07,right,122,V
.07,right,122,V
.01,left,111,V
.01,right,121,V
.15,left,113,V
.15,left,113,V
.07,left,112,V
.01,right,121,V
.01,left,111,V
.07,right,122,V
.15,left,113,V
.01,left,111,V
.15,left,113,V
.01,left,111,V
.15,right,123,V
.07,right,122,V
.01,left,111,V
.07,right,122,V
.07,left,112,V
.15,right,123,V
.07,right,122,V
.01,left,111,V
.07,left,112,V
.15,right,123,V
.01,left,111,V
.07,left,112,V
.15,left,113,V
.07,left,112,V
.07,right,122,V
.01,left,111,V
.01,right,121,V
.07,left,112,V
.15,left,113,V
.07,left,112,V
.15,left,113,V
.01,right,121,V
.07,left,112,V
.15,left,113,V
.15,right,123,V
.01,left,111,V
.07,right,122,V
.07,right,122,V
.07,left,112,V
.15,right,123,V
.15,right,123,V
.15,left,113,V
.07,right,122,V
.07,right,122,V
.07,left,112,V
.15,left,113,V
.01,right,121,V
.07,right,122,V
.07,right,122,V
.01,left,111,V
.01,left,111,V
.01,right,121,V
.01,left,111,V
.07,right,122,V
.07,left,112,V
.07,right,122,V
.01,right,121,V
.15,right,123,V
.15,right,123,V
.15,right,123,V
.01,right,121,V
.07,left,112,V
.07,left,112,V
.01,right,121,V
.01,left,111,V
.01,left,111,V
.01,right,121,V
.07,right,122,V
.07,right,122,V
.07,right,122,V
.07,right,122,V
.15,right,123,V
.15,right,123,V
.01,right,121,V
.07,left,112,V
.15,right,123,V
.15,right,123,V
.15,left,113,V
.15,right,123,V
.01,left,111,V
.15,left,113,V
.07,left,112,V
.15,left,113,V
.15,left,113,V
.07,right,122,V
.01,left,111,V
.01,left,111,V
.15,left,113,V
.07,left,112,V
.01,right,121,V
.07,right,122,V
.01,left,111,V
.07,right,122,V
.01,left,111,V
.15,left,113,V
.15,left,113,V
.07,left,112,V
.07,left,112,V
.01,right,121,V
.07,left,112,V
.01,left,111,V
.15,right,123,V
.01,left,111,V
.01,left,111,V
.15,left,113,V
.07,left,112,V
.07,left,112,V
.15,left,113,V
.01,left,111,V
.15,left,113,V
.07,right,122,V
.01,right,121,V
.07,left,112,V
.07,right,122,V
.07,right,122,V
.01,right,121,V
.07,right,122,V
.07,right,122,V
.07,left,112,V
.15,right,123,V
.01,left,111,V
.07,left,112,V
.07,left,112,V
.01,right,121,V
.15,right,123,V
.15,left,113,V
.01,right,121,V
.01,right,121,V
.01,left,111,V
.01,right,121,V
.01,right,121,V
.01,left,111,V
.15,left,113,V
.15,left,113,V
.07,right,122,V
.15,right,123,V
.01,right,121,V
.07,left,112,V
.07,right,122,V
.01,left,111,V
.15,right,123,V
.01,left,111,V
.15,right,123,V
.07,right,122,V
.15,right,123,V
.01,right,121,V
.01,right,121,V
.15,right,123,V
.01,right,121,V
.15,left,113,V
.07,left,112,V
.15,left,113,V
.15,left,113,V
.15,right,123,V
.07,left,112,V
.01,right,121,V
.15,right,123,V
.07,left,112,V
.15,left,113,V
.07,right,122,V
.01,left,111,V
.07,right,122,V
.15,right,123,V
.15,right,123,V
.07,right,122,V
.01,right,121,V
.15,left,113,V
.01,left,111,V
.15,right,123,V
.01,right,121,V
.07,right,122,V
.15,left,113,V
.07,left,112,V
.07,left,112,V
.15,right,123,V
.07,right,122,V
.15,left,113,V
.15,right,123,V
.15,right,123,V
.07,left,112,V
.15,left,113,V
.01,right,121,V
.15,right,123,V
.07,right,122,V
.07,left,112,V
.01,left,111,V
.15,left,113,V
.01,left,111,V
.01,right,121,V
.07,left,112,V
.07,left,112,V
.07,right,122,V
.07,right,122,V
.15,left,113,V
.07,left,112,V
.15,right,123,V
.07,right,122,V
.07,left,112,V
.07,left,112,V
.01,right,121,V
.01,left,111,V
.15,right,123,V
.01,left,111,V
.01,right,121,V
.15,right,123,V
.07,left,112,V
.07,right,122,V
.01,left,111,V
.07,left,112,V
.15,right,123,V
.07,right,122,V
.15,left,113,V
.07,right,122,V
.15,right,123,V
.01,right,121,V
.01,left,111,V
.07,right,122,V
.01,left,111,V
.01,left,111,V
.07,right,122,V
.07,right,122,V
.07,right,122,V
.01,left,111,V
.15,left,113,V
.15,right,123,V
.07,right,122,V
.15,left,113,V
.15,right,123,V
.15,right,123,V
.07,left,112,V
.01,left,111,V
.15,left,113,V
.15,left,113,V
.01,left,111,V
.01,right,121,V
.01,right,121,V
.01,right,121,V
.01,right,121,V
.01,right,121,V
.07,left,112,V
.01,right,121,V
.15,left,113,V
.01,right,121,V
.07,right,122,V
.15,left,113,V
.01,left,111,V
.01,left,111,V
.07,left,112,V
.15,right,123,V
.01,left,111,V
.01,left,111,V
.01,right,121,V
.15,right,123,V
.01,right,121,V
.15,right,123,V
.15,right,123,V
.15,left,113,V
.07,left,112,V
.07,left,112,V
.01,right,121,V
.01,right,121,V
.07,right,122,V
.15,left,113,V
.07,left,112,V
.07,right,122,V
.15,right,123,V
.01,left,111,V
.15,left,113,V
.15,left,113,V
.07,left,112,V
.15,left,113,V
.01,left,111,V
.07,right,122,V
.01,left,111,V
.15,left,113,V
.15,right,123,V
.01,right,121,V
.07,right,222,P
.01,left,211,P
.15,left,213,P
.01,left,211,P
.01,right,221,P
.07,right,222,P
.01,left,211,P
.15,left,213,P
.07,left,212,P
.15,left,213,P
.07,left,212,P
.07,left,212,P
.01,right,221,P
.01,left,211,P
.15,left,213,P
.15,right,223,P
.07,left,212,P
.07,left,212,P
.15,right,223,P
.01,right,221,P
.01,left,211,P
.15,right,223,P
.07,right,222,P
.07,right,222,P
.15,left,213,P
.01,left,211,P
.07,right,222,P
.15,right,223,P
.07,left,212,P
.01,right,221,P
.15,right,223,P
.07,right,222,P
.15,right,223,P
.07,right,222,P
.15,left,213,P
.01,right,221,P
.07,right,222,P
.15,left,213,P
.15,left,213,P
.07,right,222,P
.15,left,213,P
.15,left,213,P
.01,right,221,P
.01,right,221,P
.01,left,211,P
.01,right,221,P
.07,right,222,P
.01,left,211,P
.07,left,212,P
.15,right,223,P
.15,right,223,P
.15,right,223,P
.07,right,222,P
.01,right,221,P
.15,right,223,P
.01,right,221,P
.07,left,212,P
.01,right,221,P
.01,left,211,P
.15,left,213,P
.01,right,221,P
.07,left,212,P
.07,right,222,P
.07,right,222,P
.07,right,222,P
.07,left,212,P
.07,right,222,P
.15,left,213,P
.07,left,212,P
.15,left,213,P
.15,right,223,P
.15,left,213,P
.01,right,221,P
.15,right,223,P
.15,right,223,P
.15,right,223,P
.15,right,223,P
.15,left,213,P
.01,left,211,P
.07,left,212,P
.07,left,212,P
.07,right,222,P
.01,left,211,P
.01,right,221,P
.01,left,211,P
.15,left,213,P
.07,left,212,P
.15,right,223,P
.07,left,212,P
.01,left,211,P
.07,left,212,P
.07,left,212,P
.07,right,222,P
.07,right,222,P
.07,left,212,P
.01,right,221,P
.15,left,213,P
.15,right,223,P
.15,right,223,P
.15,left,213,P
.01,left,211,P
.01,right,221,P
.01,right,221,P
.01,right,221,P
.01,left,211,P
.01,left,211,P
.01,left,211,P
.01,left,211,P
.07,right,222,P
.15,left,213,P
.01,left,211,P
.15,right,223,P
.15,left,213,P
.15,right,223,P
.15,right,223,P
.15,right,223,P
.07,left,212,P
.07,right,222,P
.07,left,212,P
.15,right,223,P
.15,right,223,P
.07,right,222,P
.15,left,213,P
.01,left,211,P
.01,right,221,P
.07,right,222,P
.15,left,213,P
.15,left,213,P
.15,right,223,P
.07,right,222,P
.15,right,223,P
.01,left,211,P
.15,right,223,P
.01,right,221,P
.01,left,211,P
.07,left,212,P
.07,right,222,P
.01,left,211,P
.01,right,221,P
.15,left,213,P
.15,right,223,P
.15,left,213,P
.15,right,223,P
.01,right,221,P
.07,left,212,P
.01,right,221,P
.01,right,221,P
.07,right,222,P
.01,left,211,P
.07,right,222,P
.07,right,222,P
.07,left,212,P
.15,right,223,P
.01,right,221,P
.01,right,221,P
.15,left,213,P
.01,right,221,P
.01,left,211,P
.07,right,222,P
.07,left,212,P
.07,right,222,P
.01,left,211,P
.15,left,213,P
.07,right,222,P
.07,left,212,P
.15,right,223,P
.15,left,213,P
.07,right,222,P
.07,left,212,P
.15,right,223,P
.07,right,222,P
.01,right,221,P
.01,left,211,P
.07,left,212,P
.15,right,223,P
.15,left,213,P
.01,right,221,P
.01,left,211,P
.15,left,213,P
.01,left,211,P
.07,right,222,P
.01,right,221,P
.15,left,213,P
.01,left,211,P
.01,left,211,P
.15,left,213,P
.01,left,211,P
.01,right,221,P
.01,left,211,P
.01,right,221,P
.07,right,222,P
.01,right,221,P
.07,left,212,P
.07,left,212,P
.07,left,212,P
.07,left,212,P
.07,right,222,P
.07,left,212,P
.01,left,211,P
.15,left,213,P
.01,right,221,P
.07,left,212,P
.15,left,213,P
.07,left,212,P
.01,right,221,P
.07,right,222,P
.07,left,212,P
.15,right,223,P
.01,right,221,P
.15,left,213,P
.07,left,212,P
.15,right,223,P
.01,left,211,P
.15,left,213,P
.01,left,211,P
.15,right,223,P
.15,left,213,P
.15,right,223,P
.15,left,213,P
.15,left,213,P
.15,left,213,P
.15,right,223,P
.01,left,211,P
.15,left,213,P
.07,right,222,P
.07,right,222,P
.15,left,213,P
.01,right,221,P
.07,left,212,P
.01,right,221,P
.15,left,213,P
.07,right,222,P
.15,left,213,P
.01,left,211,P
.01,left,211,P
.07,left,212,P
.07,right,222,P
.15,left,213,P
.07,left,212,P
.07,right,222,P
.07,left,212,P
.01,left,211,P
.01,left,211,P
.15,left,213,P
.07,right,222,P
.01,right,221,P
.01,right,221,P
.07,right,222,P
.01,right,221,P
.15,right,223,P
.15,right,223,P
.15,right,223,P
.15,left,213,P
.15,right,223,P
.15,left,213,P
.01,left,211,P
.01,left,211,P
.15,right,223,P
.07,left,212,P
.07,right,222,P
.15,right,223,P
.01,right,221,P
.07,right,222,P
.01,right,221,P
.07,right,222,P
.15,left,213,P
.15,right,223,P
.07,left,212,P
.07,right,222,P
.07,left,212,P
.01,left,211,P
.01,left,211,P
.15,right,223,P
.01,left,211,P
.07,left,212,P
.15,left,213,P
.07,right,222,P
.01,left,211,P
.15,right,223,P
.07,right,222,P
.07,left,212,P
.07,left,212,P
.15,left,213,P
.07,left,212,P
.01,right,221,P
.07,right,222,P
.01,left,211,P
.01,right,221,P
.01,right,221,P
.01,right,221,P
.01,right,221,P
.07,right,222,P
.01,right,221,P
.07,left,212,P
.15,right,223,P
.15,right,223,P
.01,right,221,P
.01,right,221,P
.15,right,223,P
.15,left,213,P
.01,left,211,P
.01,right,221,P
.15,left,213,P
.07,left,212,P
.01,left,211,P
.07,right,222,P
.15,left,213,P
.01,right,221,P
.07,left,212,P
.07,left,212,P
.07,left,212,P
.15,right,223,P
.15,right,223,P
.07,right,222,P
.15,right,223,P
.01,right,221,P
.01,left,211,P
.07,right,222,P
.01,left,211,P
.07,left,212,P
.01,left,211,P
.07,left,212,P
.01,left,211,P
.15,right,223,P
.07,right,122,V
.01,left,111,V
.15,right,123,V
.01,left,111,V
.07,left,112,V
.01,right,121,V
.01,right,121,V
.07,left,112,V
.07,left,112,V
.01,right,121,V
.01,left,111,V
.01,left,111,V
.07,right,122,V
.15,left,113,V
.07,right,122,V
.07,right,122,V
.15,left,113,V
.01,right,121,V
.01,right,121,V
.15,left,113,V
.15,right,123,V
.15,right,123,V
.07,right,122,V
.01,left,111,V
.15,right,123,V
.15,left,113,V
.07,left,112,V
.07,right,122,V
.15,right,123,V
.15,left,113,V
.01,right,121,V
.15,left,113,V
.01,left,111,V
.15,right,123,V
.07,left,112,V
.01,left,111,V
.01,left,111,V
.15,right,123,V
.07,right,122,V
.07,left,112,V
.15,right,123,V
.07,left,112,V
.01,right,121,V
.01,right,121,V
.07,right,122,V
.15,right,123,V
.07,left,112,V
.07,left,112,V
.01,left,111,V
.07,right,122,V
.15,left,113,V
.07,left,112,V
.07,left,112,V
.07,left,112,V
.01,left,111,V
.01,right,121,V
.15,right,123,V
.15,right,123,V
.07,right,122,V
.15,right,123,V
.15,right,123,V
.07,right,122,V
.01,left,111,V
.07,left,112,V
.15,left,113,V
.07,left,112,V
.01,left,111,V
.15,right,123,V
.01,right,121,V
.07,right,122,V
.01,left,111,V
.15,right,123,V
.15,left,113,V
.15,right,123,V
.01,right,121,V
.07,right,122,V
.07,right,122,V
.01,right,121,V
.01,right,121,V
.15,right,123,V
.07,left,112,V
.15,right,123,V
.15,left,113,V
.15,left,113,V
.15,left,113,V
.15,left,113,V
.01,right,121,V
.07,left,112,V
.15,left,113,V
.01,right,121,V
.07,right,122,V
.01,left,111,V
.01,right,121,V
.01,left,111,V
.07,right,122,V
.01,left,111,V
.07,left,112,V
.07,right,122,V
.01,left,111,V
.15,left,113,V
.07,right,122,V
.15,left,113,V
.01,right,121,V
.15,left,113,V
.01,left,111,V
.07,left,112,V
.01,right,121,V
.15,left,113,V
.01,left,111,V
.15,left,113,V
.01,right,121,V
.07,left,112,V
.01,left,111,V
.07,right,122,V
.07,right,122,V
.01,right,121,V
.07,left,112,V
.07,left,112,V
.01,left,111,V
.01,right,121,V
.15,left,113,V
.15,left,113,V
.15,left,113,V
.15,left,113,V
.01,left,111,V
.07,right,122,V
.07,left,112,V
.01,right,121,V
.07,right,122,V
.01,right,121,V
.01,right,121,V
.15,right,123,V
.15,left,113,V
.01,left,111,V
.01,left,111,V
.01,right,121,V
.15,left,113,V
.01,left,111,V
.01,left,111,V
.15,left,113,V
.15,right,123,V
.01,right,121,V
.15,left,113,V
.07,left,112,V
.01,left,111,V
.15,right,123,V
.01,left,111,V
.01,right,121,V
.15,right,123,V
.15,left,113,V
.15,right,123,V
.01,left,111,V
.07,right,122,V
.15,left,113,V
.15,right,123,V
.07,right,122,V
.01,right,121,V
.07,left,112,V
.01,right,121,V
.15,right,123,V
.07,right,122,V
.01,left,111,V
.07,left,112,V
.07,left,112,V
.07,right,122,V
.15,left,113,V
.15,right,123,V
.01,left,111,V
.07,right,122,V
.01,right,121,V
.07,left,112,V
.07,left,112,V
.15,left,113,V
.15,right,123,V
.07,right,122,V
.01,left,111,V
.07,right,122,V
.15,left,113,V
.01,right,121,V
.01,left,111,V
.15,right,123,V
.07,right,122,V
.15,right,123,V
.07,right,122,V
.07,left,112,V
.07,right,122,V
.15,left,113,V
.15,right,123,V
.15,left,113,V
.01,right,121,V
.01,left,111,V
.15,right,123,V
.07,right,122,V
.15,right,123,V
.15,right,123,V
.07,left,112,V
.07,left,112,V
.07,right,122,V
.07,left,112,V
.15,right,123,V
.07,right,122,V
.07,left,112,V
.07,left,112,V
.15,right,123,V
.01,right,121,V
.01,right,121,V
.15,left,113,V
.15,right,123,V
.01,right,121,V
.01,left,111,V
.07,left,112,V
.07,left,112,V
.01,left,111,V
.15,left,113,V
.07,right,122,V
.01,right,121,V
.15,left,113,V
.07,right,122,V
.01,right,121,V
.01,right,121,V
.01,left,111,V
.01,right,121,V
.07,right,122,V
.07,left,112,V
.15,right,123,V
.07,left,112,V
.15,right,123,V
.01,right,121,V
.01,right,121,V
.15,right,123,V
.15,right,123,V
.15,left,113,V
.15,left,113,V
.01,left,111,V
.07,right,122,V
.01,right,121,V
.15,left,113,V
.01,left,111,V
.07,left,112,V
.01,left,111,V
.07,left,112,V
.15,right,123,V
.01,right,121,V
.01,left,111,V
.07,left,112,V
.01,left,111,V
.15,left,113,V
.01,left,111,V
.07,right,122,V
.01,right,121,V
.15,right,123,V
.15,left,113,V
.15,left,113,V
.01,right,121,V
.07,right,122,V
.15,left,113,V
.01,left,111,V
.01,right,121,V
.07,right,122,V
.15,left,113,V
.07,right,122,V
.15,left,113,V
.07,right,122,V
.01,left,111,V
.07,right,122,V
.07,left,112,V
.01,left,111,V
.15,left,113,V
.15,right,123,V
.07,right,122,V
.07,left,112,V
.01,right,121,V
.15,right,123,V
.07,left,112,V
.01,right,121,V
.15,left,113,V
.07,right,122,V
.01,left,111,V
.01,right,121,V
.07,left,112,V
.15,right,123,V
.07,right,122,V
.01,right,121,V
.15,right,123,V
.07,right,122,V
.01,left,111,V
.07,left,112,V
.15,right,123,V
.07,right,122,V
.01,left,111,V
.07,right,122,V
.15,left,113,V
.07,left,112,V
.07,left,112,V
.15,right,123,V
.15,left,113,V
.01,right,121,V
.01,right,121,V
.15,right,123,V
.15,right,123,V
.07,left,112,V
.07,right,122,V
.01,left,111,V
.07,left,112,V
.15,right,123,V
.01,right,121,V
.07,left,112,V
.01,left,111,V
.15,right,123,V
.07,left,112,V
.07,right,122,V
.07,left,112,V
.01,left,111,V
.07,right,122,V
.07,left,112,V
.15,left,113,V
.01,right,121,V
.15,left,113,V
.15,right,123,V
.01,left,111,V
.15,left,113,V
.01,left,111,V
.15,left,113,V
.15,right,123,V
